polarity,subjectivity,created_at,location
0.9,1.0,Thu Mar 12 17:30:56 +0000 2020,
0.0,0.0,Thu Mar 12 17:30:24 +0000 2020,"Pune, India"
0.09166666666666665,0.5666666666666667,Thu Mar 12 17:30:18 +0000 2020,Republic of Mauritius
0.0,0.0,Thu Mar 12 17:30:00 +0000 2020,Mumbai
-0.30000000000000004,0.39999999999999997,Thu Mar 12 17:30:00 +0000 2020,
-0.3,0.6,Thu Mar 12 17:28:12 +0000 2020,"Kolkata, India"
-0.04999999999999999,1.0,Thu Mar 12 17:28:11 +0000 2020,"Kolkata, India"
-0.0625,0.22083333333333333,Thu Mar 12 17:27:51 +0000 2020,
0.0,0.08333333333333334,Thu Mar 12 17:27:19 +0000 2020,"Maharashtra, India"
-0.08333333333333333,0.5416666666666666,Thu Mar 12 17:27:07 +0000 2020,"Mumbai, India"
0.0,0.0,Thu Mar 12 17:26:42 +0000 2020,"कोलकाता, भारत"
0.0,0.0,Thu Mar 12 17:25:40 +0000 2020,"कोलकाता, भारत"
0.35714285714285715,0.5714285714285714,Thu Mar 12 17:25:28 +0000 2020,Syria _ Aleppo 
0.2857142857142857,0.5357142857142857,Thu Mar 12 17:22:25 +0000 2020,"Mumbai, India"
0.0,0.0,Thu Mar 12 17:21:26 +0000 2020,"assam,India "
0.03333333333333333,0.06666666666666667,Thu Mar 12 17:18:07 +0000 2020,"Indore, India"
0.3375,0.5625,Thu Mar 12 17:16:42 +0000 2020,
0.2375,0.5875,Thu Mar 12 17:14:31 +0000 2020,"Chhapra, India"
-0.04999999999999999,1.0,Thu Mar 12 17:14:03 +0000 2020,"assam,India "
0.28125,0.6944444444444444,Thu Mar 12 17:14:02 +0000 2020,
-0.3,0.6,Thu Mar 12 17:13:47 +0000 2020,"assam,India "
0.0,0.0,Thu Mar 12 17:12:38 +0000 2020,mumbai
0.0,0.0,Thu Mar 12 17:10:52 +0000 2020,"Chandigarh, India"
0.0,0.0,Thu Mar 12 17:10:00 +0000 2020,"Mumbai, India"
0.0,0.0,Thu Mar 12 17:08:19 +0000 2020,"London, England"
0.0,0.0,Thu Mar 12 17:08:09 +0000 2020,"Mumbai, India"
0.0,0.0,Thu Mar 12 17:07:08 +0000 2020,sd card
-0.04999999999999999,1.0,Thu Mar 12 17:03:27 +0000 2020,
0.2375,0.5875,Thu Mar 12 17:03:14 +0000 2020,
-0.3,0.6,Thu Mar 12 17:03:03 +0000 2020,
0.9,1.0,Thu Mar 12 17:02:55 +0000 2020,"Gorakhpur, India"
0.0,0.0,Thu Mar 12 17:02:49 +0000 2020,
-0.04999999999999999,1.0,Thu Mar 12 17:02:37 +0000 2020,India
-0.3,0.6,Thu Mar 12 17:02:35 +0000 2020,
0.0,0.0,Thu Mar 12 17:01:08 +0000 2020,India
0.0,0.0,Thu Mar 12 17:00:00 +0000 2020,"Mumbai, Maharashtra"
-0.04999999999999999,1.0,Thu Mar 12 16:59:24 +0000 2020,Worldwide (Malaysia)
0.10000000000000002,0.3833333333333333,Thu Mar 12 16:59:00 +0000 2020,"Pune, India"
0.35,0.65,Thu Mar 12 16:58:41 +0000 2020,Udaipur
-0.04999999999999999,1.0,Thu Mar 12 16:57:16 +0000 2020,
-0.1,0.1,Thu Mar 12 16:54:00 +0000 2020,"Trivandrum, India"
-0.3,0.6,Thu Mar 12 16:51:07 +0000 2020,
0.325,0.3375,Thu Mar 12 16:51:03 +0000 2020,udwada
0.2375,0.5875,Thu Mar 12 16:46:37 +0000 2020,"Hyderabad, Andhra Pradesh"
0.5,0.5,Thu Mar 12 16:45:44 +0000 2020,udwada
-0.3,0.6,Thu Mar 12 16:45:26 +0000 2020,
-0.3,0.6,Thu Mar 12 16:43:30 +0000 2020,
-0.3,0.6,Thu Mar 12 16:43:28 +0000 2020,
-0.3,0.6,Thu Mar 12 16:41:58 +0000 2020,Kareena Kapoor Khan's Universe
-0.5,1.0,Thu Mar 12 16:40:24 +0000 2020,Jahan Chah Wahin Raah 
0.0,0.0,Thu Mar 12 16:38:06 +0000 2020,भारत
-0.3,0.6,Thu Mar 12 16:37:15 +0000 2020,India
0.0,0.0,Thu Mar 12 16:36:54 +0000 2020,Worldwide (Malaysia)
-0.3,0.6,Thu Mar 12 16:35:44 +0000 2020,Kareena Kapoor Khan's Universe
0.0,0.0,Thu Mar 12 16:34:38 +0000 2020,
0.08333333333333333,0.25,Thu Mar 12 16:32:20 +0000 2020,ARY Digital Studios UK/Lahore
0.0,0.0,Thu Mar 12 16:30:33 +0000 2020,Greater Noida
0.0,0.0,Thu Mar 12 16:28:41 +0000 2020,noida
0.9,1.0,Thu Mar 12 16:28:38 +0000 2020,"Rajasthan, India"
0.2375,0.5875,Thu Mar 12 16:28:22 +0000 2020,"Mangalore, Karnataka, India"
0.0,0.0,Thu Mar 12 16:28:08 +0000 2020,
0.2375,0.5875,Thu Mar 12 16:27:54 +0000 2020,
0.2375,0.5875,Thu Mar 12 16:27:54 +0000 2020,"गोरखपुर, भारत"
0.2375,0.5875,Thu Mar 12 16:27:15 +0000 2020,"Mumbai, India"
1.0,1.0,Thu Mar 12 16:27:00 +0000 2020,multifandomist™
0.2375,0.5875,Thu Mar 12 16:26:55 +0000 2020,"Ahmadabad City, India"
0.0,0.0,Thu Mar 12 16:26:48 +0000 2020,ARY Digital Studios UK/Lahore
0.2375,0.5875,Thu Mar 12 16:26:28 +0000 2020,"Mumbai, India"
0.0,0.0,Thu Mar 12 16:24:52 +0000 2020,ARY Digital Studios UK/Lahore
0.9,1.0,Thu Mar 12 16:23:33 +0000 2020,
0.0,0.0,Thu Mar 12 16:22:16 +0000 2020,delhi/india
0.44999999999999996,0.5,Thu Mar 12 16:22:13 +0000 2020,delhi/india
0.5285714285714286,0.7357142857142858,Thu Mar 12 16:22:12 +0000 2020,Vizag
0.0,0.65,Thu Mar 12 16:21:16 +0000 2020,
0.325,0.3375,Thu Mar 12 16:20:39 +0000 2020,
0.325,0.3375,Thu Mar 12 16:20:11 +0000 2020,
0.0,0.0,Thu Mar 12 16:18:30 +0000 2020,Saligramam
-0.018750000000000003,0.3,Thu Mar 12 16:18:20 +0000 2020,India
-0.5,0.9,Thu Mar 12 16:16:48 +0000 2020,India
0.0,0.0,Thu Mar 12 16:15:24 +0000 2020,"मुंबई, भारत"
0.49166666666666664,0.7166666666666667,Thu Mar 12 16:15:15 +0000 2020,"Hyderabad, India"
0.24999999999999997,0.65,Thu Mar 12 16:15:06 +0000 2020,"मुंबई, भारत"
0.9,1.0,Thu Mar 12 16:11:59 +0000 2020,"Biswanath Chariali, India"
0.30400000000000005,0.8009999999999999,Thu Mar 12 16:11:30 +0000 2020,Nepal
